,James Madison ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Courtney Hamner,4,10,3,4,1,6,2,2,2,2,1,1,0,2,2,11,0.2,0.5
1,Dawn Evans,7,27,7,16,0,11,6,7,1,2,2,6,0,4,4,20,0.2222222222222222,0.5
2,Tarik Hislop,6,21,6,16,0,5,4,5,0,3,1,2,1,0,2,16,0.19047619047619047,0.0
3,Lauren Jimenez,6,11,5,9,1,2,1,3,3,3,0,3,2,4,2,14,0.09090909090909091,0.0
4,Nikki Newman,1,2,1,1,0,1,0,0,3,1,1,0,0,0,5,2,0.0,0.0
10,School Totals,28,77,26,52,2,25,14,19,16,20,7,15,4,14,21,72,0.18181818181818182,0.5
