,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Tegan Cunningham,38,.420,.360,.200,.400,9.8,15.9,12.5,6.0,4.0,0.0,12.0,39.0,85,82
1,Toni Young,25,.692,.643,.000,.286,7.4,14.5,10.5,12.7,2.0,0.0,6.0,29.8,135,88
2,Ally Clardy,25,.000,.000,.667,.167,3.7,14.5,8.4,59.3,6.1,6.2,13.4,13.2,57,76
3,Lakyn Garrison,20,.127,.000,1.000,.667,0.0,12.1,5.3,14.8,2.6,0.0,20.5,10.8,40,88
4,Megan Byford,14,1.013,1.000,.000,.667,6.6,17.3,11.3,15.5,0.0,0.0,0.0,12.3,213,91
6,Precious Robinson,25,.455,.455,.000,.000,18.6,19.4,18.9,0.0,8.2,12.3,15.4,23.1,89,67
7,Carolyn Blair-Mobley,25,.345,.000,1.000,4.000,0.0,14.5,6.3,17.8,2.0,0.0,0.0,4.9,107,88
8,Lindsey Keller,20,.167,.167,.333,.000,0.0,6.1,2.6,8.0,0.0,0.0,14.3,15.5,38,96
9,Desiree Jeffries,6,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0,98
10,Heather Howard,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,97
11,School Totals,200,.432,.386,.214,.329,30.2,69.7,47.4,70.4,16.7,11.5,11.0,100.0,89.7,80.8
