,Buffalo ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Cierra Dillard,6,17,2,6,4,11,4,6,0,4,6,4,0,5,1,20,0.23529411764705882,1.2
1,Hanna Hall,3,5,0,1,3,4,3,4,0,1,8,1,0,2,2,12,0.6,4.0
2,Summer Hemphill,9,14,8,13,1,1,4,4,1,6,2,1,2,3,3,23,0.2857142857142857,0.6666666666666666
3,Theresa Onwuka,1,5,1,5,0,0,0,0,1,0,0,1,0,2,2,2,0.0,0.0
4,Adebola Adeyeye,2,2,2,2,0,0,0,0,3,2,0,0,1,2,4,4,0.0,0.0
9,School Totals,27,54,15,31,12,23,16,19,6,22,18,7,3,18,18,82,0.2962962962962963,1.0
