,Oklahoma State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Loryn Goodwin,7,16,5,13,2,3,3,3,0,5,8,5,0,2,2,19,0.1875,4.0
1,Jaden Hobbs,8,9,0,0,8,9,3,4,0,3,1,0,0,2,0,27,0.3333333333333333,0.5
2,Kaylee Jensen,8,15,8,15,0,0,3,5,7,5,1,2,1,1,2,19,0.2,1.0
3,Mandy Coleman,2,8,2,6,0,2,2,2,1,2,2,0,0,5,2,6,0.25,0.4
4,Braxtin Miller,2,8,1,4,1,4,2,4,1,4,3,0,0,2,3,7,0.25,1.5
10,School Totals,29,62,16,39,13,23,13,18,13,28,18,8,1,13,10,84,0.20967741935483872,1.3846153846153846
