,Ohio State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jacy Sheldon,7,12,6,8,1,4,10,12,2,4,5,5,1,3,2,25,0.8333333333333334,1.6666666666666667
1,Taylor Mikesell,5,13,3,9,2,4,2,2,0,3,3,1,2,1,2,14,0.15384615384615385,3.0
2,Braxtin Miller,0,9,0,4,0,5,1,2,2,1,1,4,2,2,3,1,0.1111111111111111,0.5
3,Rebeka Mikulasikova,2,7,1,4,1,3,1,2,1,2,1,0,1,1,3,6,0.14285714285714285,1.0
4,Rikki Harris,1,4,0,0,1,4,1,2,1,1,0,0,0,0,3,4,0.25,0.0
8,School Totals,19,56,14,36,5,20,20,30,10,17,11,13,7,10,18,63,0.35714285714285715,1.1
