,Ohio State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelsey Mitchell,11,31,6,19,5,12,18,22,0,5,2,3,0,3,2,45,0.5806451612903226,0.6666666666666666
1,Shayla Cooper,5,14,3,12,2,2,3,4,2,8,1,0,2,1,2,15,0.21428571428571427,1.0
2,Asia Doss,3,7,2,5,1,2,0,0,0,2,5,2,1,1,2,7,0.0,5.0
3,Cait Craft,2,6,0,4,2,2,1,2,1,0,1,2,1,0,3,7,0.16666666666666666,0.0
4,Alexa Hart,3,7,3,7,0,0,0,1,3,3,0,1,1,2,1,6,0.0,0.0
7,School Totals,26,70,16,51,10,19,26,33,9,21,9,10,5,7,11,88,0.37142857142857144,1.2857142857142858
