,Iowa ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Caitlin Clark,13,21,7,9,6,12,3,3,0,7,7,1,1,5,1,35,0.14285714285714285,1.4
1,Gabbie Marshall,3,5,1,2,2,3,0,0,0,2,1,2,0,3,1,8,0.0,0.3333333333333333
2,Kate Martin,3,6,3,6,0,0,0,0,2,5,1,0,0,0,1,6,0.0,0.0
3,McKenna Warnock,4,7,2,5,2,2,0,0,1,7,2,0,1,2,3,10,0.0,1.0
4,Monika Czinano,7,12,7,12,0,0,0,0,3,5,1,0,1,2,4,14,0.0,0.5
13,School Totals,35,61,25,42,10,19,6,6,8,26,14,4,4,15,11,86,0.09836065573770492,0.9333333333333333
