,Army ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelsey Minato,9,19,3,9,6,10,3,4,1,3,3,1,0,2,3,27,0.15789473684210525,1.5
1,Jen Hazlett,4,15,3,5,1,10,0,0,0,3,2,1,0,4,2,9,0.0,0.5
2,Olivia Schretzman,1,2,1,2,0,0,0,1,1,2,1,1,1,1,1,2,0.0,1.0
3,Aimee Oertner,0,1,0,1,0,0,1,2,1,2,0,0,1,1,4,1,1.0,0.0
4,Brianna Johnson,0,3,0,1,0,2,0,0,0,2,1,0,0,2,0,0,0.0,0.5
15,School Totals,19,51,10,24,9,27,5,9,6,14,8,4,2,15,17,52,0.09803921568627451,0.5333333333333333
