,Maryland ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Alyssa Thomas,7,12,7,11,0,1,3,4,2,4,3,1,0,3,3,17,0.25,1.0
1,Tianna Hawkins,5,10,5,10,0,0,0,0,2,3,2,1,1,0,2,10,0.0,0.0
2,Anjale Barrett,4,7,4,5,0,2,0,0,0,3,4,1,1,2,0,8,0.0,2.0
3,Alicia DeVaughn,4,6,4,6,0,0,2,4,3,1,0,1,1,4,3,10,0.3333333333333333,0.0
4,Laurin Mincy,1,6,1,5,0,1,0,0,0,4,0,1,0,2,2,2,0.0,0.0
11,School Totals,22,56,22,48,0,8,5,8,9,17,10,9,3,20,12,49,0.08928571428571429,0.5
