,Notre Dame ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Skylar Diggins,9,21,9,18,0,3,4,7,4,6,11,5,0,3,1,22,0.19047619047619047,3.6666666666666665
1,Kayla McBride,6,12,4,9,2,3,2,2,0,3,2,2,0,4,1,16,0.16666666666666666,0.5
2,Natalie Novosel,5,9,4,6,1,3,3,4,2,4,0,1,0,4,0,14,0.3333333333333333,0.0
3,Brittany Mallory,2,4,2,2,0,2,0,0,0,3,3,1,0,0,1,4,0.0,0.0
4,Devereaux Peters,3,9,3,9,0,0,0,0,5,4,3,1,1,1,4,6,0.0,3.0
11,School Totals,32,65,29,54,3,11,13,17,15,26,21,10,2,16,11,80,0.2,1.3125
