,Mississippi State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jazzmun Holmes,4,10,4,10,0,0,5,8,0,3,7,1,0,0,2,13,0.5,0.0
1,Teaira McCowan,6,8,6,8,0,0,10,11,6,7,0,3,1,1,4,22,1.25,0.0
2,Andra Espinoza-Hunter,5,11,3,5,2,6,0,0,0,1,1,0,0,1,2,12,0.0,1.0
3,Anriel Howard,3,9,3,8,0,1,5,8,2,4,1,1,1,2,4,11,0.5555555555555556,0.5
4,Jordan Danberry,4,10,4,10,0,0,3,4,1,4,2,1,0,2,4,11,0.3,1.0
10,School Totals,24,54,21,43,3,11,25,35,11,23,11,6,3,7,17,76,0.46296296296296297,1.5714285714285714
