,Stanford ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lili Thompson,7,15,6,11,1,4,4,8,0,1,5,2,1,1,2,19,0.26666666666666666,5.0
1,Karlie Samuelson,3,10,0,4,3,6,0,0,1,2,4,2,1,2,1,9,0.0,2.0
2,Erica McCall,9,14,8,10,1,4,1,2,4,8,0,0,1,2,4,20,0.07142857142857142,0.0
3,Briana Roberson,3,5,2,2,1,3,0,0,0,1,4,1,1,1,1,7,0.0,4.0
4,Kaylee Johnson,1,2,1,2,0,0,4,10,3,6,2,0,1,2,1,6,2.0,1.0
9,School Totals,25,56,19,38,6,18,10,22,9,26,18,5,7,11,13,66,0.17857142857142858,1.6363636363636365
