,South Dakota State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Macy Miller,7,16,7,14,0,2,5,9,2,6,1,2,0,2,1,19,0.3125,0.5
1,Ellie Thompson,6,13,5,11,1,2,1,2,3,2,3,0,0,1,4,14,0.07692307692307693,3.0
2,Kerri Young,5,10,2,7,3,3,0,0,1,3,1,2,0,1,3,13,0.0,1.0
3,Clarissa Ober,5,8,3,5,2,3,0,0,2,4,1,0,2,0,4,12,0.0,0.0
4,Madison Guebert,1,4,1,4,0,0,0,0,1,0,0,0,0,2,2,2,0.0,0.0
8,School Totals,26,63,20,47,6,16,7,13,10,20,11,6,3,7,19,65,0.1111111111111111,1.5714285714285714
