,California ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Brittany Boyd,7,18,7,16,0,2,8,9,3,3,10,3,1,3,3,22,0.4444444444444444,3.3333333333333335
1,Afure Jemerigbe,5,12,5,10,0,2,3,4,4,3,3,2,0,1,1,13,0.25,3.0
2,Reshanda Gray,4,11,4,11,0,0,2,3,3,5,1,1,0,4,3,10,0.18181818181818182,0.25
3,Mikayla Lyles,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0
4,Justine Hartman,1,2,1,2,0,0,0,0,0,1,0,0,1,0,2,2,0.0,0.0
8,School Totals,25,62,24,54,1,8,13,16,14,19,16,7,7,9,12,64,0.20967741935483872,1.7777777777777777
