,Mississippi State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Victoria Vivians,6,14,2,8,4,6,4,4,4,9,1,2,0,3,1,20,0.2857142857142857,0.3333333333333333
1,Blair Schaefer,5,9,2,2,3,7,5,5,0,2,1,0,0,0,1,18,0.5555555555555556,0.0
2,Teaira McCowan,6,8,6,8,0,0,6,9,3,10,1,1,1,4,2,18,0.75,0.25
3,Roshunda Johnson,2,5,1,2,1,3,1,2,0,1,3,1,0,0,1,6,0.2,0.0
4,Morgan William,3,4,3,4,0,0,3,4,0,0,2,0,2,1,2,9,0.75,2.0
12,School Totals,31,62,22,43,9,19,24,30,13,35,18,5,4,16,12,95,0.3870967741935484,1.125
