,Notre Dame ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Lindsay Allen,3,6,3,6,0,0,3,3,1,4,7,2,0,2,1,9,0.5,3.5
1,Jewell Loyd,9,14,9,12,0,2,0,0,0,3,4,0,0,3,1,18,0.0,1.3333333333333333
2,Michaela Mabrey,3,6,1,2,2,4,1,2,0,4,1,0,0,2,0,9,0.16666666666666666,0.5
3,Taya Reimer,4,5,4,5,0,0,1,1,1,1,3,0,3,3,1,9,0.2,1.0
4,Brianna Turner,5,8,5,8,0,0,2,4,1,3,0,1,1,3,1,12,0.25,0.0
12,School Totals,33,53,31,45,2,8,9,17,6,30,20,10,5,14,12,77,0.16981132075471697,1.4285714285714286
