,Montana ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kellie Cole Rubel,4,12,4,10,0,2,0,0,0,5,6,1,0,6,3,8,0.0,1.0
1,Kayleigh Valley,3,7,3,6,0,1,3,4,2,4,0,1,0,3,2,9,0.42857142857142855,0.0
2,McCalle Feller,4,12,4,6,0,6,0,0,0,1,1,0,0,0,0,8,0.0,0.0
3,Carly Selvig,0,2,0,2,0,0,0,0,0,0,2,1,1,0,2,0,0.0,0.0
4,Maggie Rickman,4,10,4,9,0,1,0,0,3,2,1,1,1,1,5,8,0.0,1.0
11,School Totals,19,62,17,41,2,21,3,5,10,18,11,7,3,17,17,43,0.04838709677419355,0.6470588235294118
