,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Syracuse ,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kiara Lewis,40,5,18,.278,3,10,.300,2,8,.250,2,3,.667,0,1,1,5,2,0,1,2,14
1,Digna Strautmane,40,5,10,.500,2,3,.667,3,7,.429,0,0,,4,6,10,2,3,2,2,2,13
2,Tiana Mangakahia,39,4,9,.444,1,1,1.000,3,8,.375,0,0,,0,3,3,7,1,0,6,0,11
3,Emily Engstler,34,6,14,.429,2,6,.333,4,8,.500,2,4,.500,1,11,12,1,6,4,0,3,18
4,Kamilla Cardoso,24,4,9,.444,4,9,.444,0,0,,4,6,.667,1,2,3,0,1,6,0,2,12
6,Maeva Djaldi-Tabdi,14,1,5,.200,1,5,.200,0,0,,0,0,,1,1,2,0,0,0,2,1,2
7,Amaya Finklea-Guity,8,0,3,.000,0,3,.000,0,0,,2,2,1.000,2,2,4,0,0,2,0,1,2
8,School Totals,199,25,68,.368,13,37,.351,12,31,.387,10,15,.667,9,26,35,15,13,14,11,11,72
