,Texas A&M ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jordan Jones,2,4,1,1,1,3,4,5,0,1,16,1,0,5,2,9,1.0,3.2
1,Courtney Williams,8,22,8,20,0,2,7,12,3,3,4,0,0,3,2,23,0.3181818181818182,1.3333333333333333
2,Karla Gilbert,7,11,7,11,0,0,6,12,2,13,0,0,2,1,2,20,0.5454545454545454,0.0
3,Courtney Walker,6,10,6,10,0,0,6,6,1,6,2,2,0,0,3,18,0.6,0.0
4,Tori Scott,3,3,2,2,1,1,0,0,0,0,0,0,0,0,4,7,0.0,0.0
11,School Totals,29,58,26,50,3,8,24,37,10,27,23,4,2,11,19,85,0.41379310344827586,2.090909090909091
