,Portland State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ashley Bolston,5,11,0,2,5,9,4,4,0,3,2,1,1,3,0,19,0.36363636363636365,0.6666666666666666
1,Kylie Jimenez,2,9,0,1,2,8,1,3,0,2,4,2,0,2,0,7,0.1111111111111111,2.0
2,Courtney West,1,4,1,4,0,0,3,4,3,1,0,0,0,4,3,5,0.75,0.0
3,Sidney Rielly,1,5,1,3,0,2,0,0,0,0,1,1,0,3,3,2,0.0,0.3333333333333333
4,Jordan Stotler,0,6,0,4,0,2,0,0,0,2,2,0,1,1,1,0,0.0,2.0
9,School Totals,12,49,4,21,8,28,8,11,6,13,10,5,2,17,11,40,0.16326530612244897,0.5882352941176471
