,DePaul ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Laura Prochaska,5,8,3,3,2,5,0,2,0,1,6,0,0,3,4,12,0.0,2.0
1,Amarah Coleman,4,8,3,5,1,3,1,2,2,2,2,0,0,1,3,10,0.125,2.0
2,Brooke Schulte,5,11,4,10,1,1,1,1,2,2,2,0,0,2,3,12,0.09090909090909091,1.0
3,Jessica January,4,9,4,8,0,1,1,1,1,3,2,0,0,3,2,9,0.1111111111111111,0.6666666666666666
4,Jacqui Grant,3,9,2,5,1,4,0,0,3,8,1,3,0,1,2,7,0.0,1.0
10,School Totals,36,68,25,44,11,24,5,8,15,25,21,4,3,15,21,88,0.07352941176470588,1.4
