,Oregon ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Maddie Scherr,0,4,0,4,0,0,0,0,0,2,6,3,1,5,1,0,0.0,1.2
1,Sedona Prince,9,14,9,12,0,2,4,5,1,4,1,2,4,1,3,22,0.2857142857142857,1.0
2,Erin Boley,3,8,1,5,2,3,1,2,1,2,1,2,0,1,0,9,0.125,1.0
3,Taylor Mikesell,3,6,1,2,2,4,3,4,0,5,4,1,0,3,2,11,0.5,1.3333333333333333
4,Nyara Sabally,7,14,6,13,1,1,0,1,3,6,3,2,0,4,3,15,0.0,0.75
9,School Totals,22,48,17,36,5,12,8,12,6,23,15,10,5,16,10,57,0.16666666666666666,0.9375
