,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Iowa ,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Myia McCurdy,38,.791,.833,.000,.333,12.4,4.8,9.4,4.8,3.1,5.0,0.0,9.1,170,108
1,Nikki Speed,37,.273,.273,.000,.000,0.0,14.7,5.8,9.1,4.7,0.0,15.4,17.7,60,103
2,Brittany Ray,31,.536,.536,.429,.000,3.8,23.5,11.5,6.7,0.0,0.0,12.5,26.0,103,112
3,Chelsey Lee,27,.642,.667,.000,.444,8.7,26.9,15.9,8.2,4.3,7.1,15.7,23.8,115,98
4,Khadijah Rushdan,25,.428,.400,.200,.600,4.7,7.3,5.7,46.6,7.0,0.0,28.3,35.6,80,99
6,April Sykes,14,.000,.000,.500,.000,8.4,0.0,5.1,21.2,0.0,0.0,0.0,14.4,43,120
7,Erica Wheeler,11,.250,.250,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,61,119
8,Monique Oliver,10,.667,.667,.000,.000,11.8,18.2,14.3,0.0,0.0,0.0,25.0,20.2,101,114
9,Rashidat Juniad,7,,,,,16.8,26.0,20.4,0.0,0.0,0.0,100.0,7.2,37,111
10,School Totals,200,.472,.467,.164,.197,32.4,68.2,46.4,48.1,14.5,9.5,16.3,100.0,91.3,101.4
