,Maryland ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Shatori Walker-Kimbrough,6,14,1,5,5,9,0,0,2,9,3,0,0,5,2,17,0.0,0.6
1,Kristen Confroy,3,8,0,0,3,8,2,2,1,3,2,0,0,0,2,11,0.25,0.0
2,Malina Howard,2,4,2,4,0,0,0,0,1,2,0,2,2,2,2,4,0.0,0.0
3,Brionna Jones,2,7,2,7,0,0,0,0,3,3,0,1,0,3,4,4,0.0,0.0
4,Chloe Pavlech,1,4,0,1,1,3,0,0,0,1,0,4,0,2,2,3,0.0,0.0
9,School Totals,25,67,15,39,10,28,5,5,8,27,13,9,2,15,17,65,0.07462686567164178,0.8666666666666667
