,Washington ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelsey Plum,8,24,5,14,3,10,13,14,1,5,7,2,0,5,1,32,0.5416666666666666,1.4
1,Talia Walton,7,18,3,7,4,11,2,2,0,3,0,3,1,2,3,20,0.1111111111111111,0.0
2,Alexus Atchley,1,5,1,2,0,3,0,0,2,2,2,2,0,3,1,2,0.0,0.6666666666666666
3,Chantel Osahor,2,6,1,1,1,5,4,4,1,14,3,4,0,1,1,9,0.6666666666666666,3.0
4,Katie Collier,2,2,2,2,0,0,1,2,1,4,0,0,1,1,3,5,0.5,0.0
6,School Totals,23,59,15,30,8,29,20,22,6,32,12,11,2,12,10,74,0.3389830508474576,1.0
