,South Carolina ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Zia Cooke,10,23,5,15,5,8,0,0,0,0,1,0,0,3,2,25,0.0,0.3333333333333333
1,Destanni Henderson,5,12,2,5,3,7,5,5,1,4,3,0,0,5,4,18,0.4166666666666667,0.6
2,Brea Beal,2,9,2,8,0,1,1,2,6,1,1,3,0,0,2,5,0.1111111111111111,0.0
3,Aliyah Boston,5,14,4,11,1,3,0,0,7,9,1,1,4,1,4,11,0.0,1.0
4,Victaria Saxton,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0.0,0.0
7,School Totals,24,67,15,47,9,20,8,12,18,17,9,6,5,11,15,65,0.11940298507462686,0.8181818181818182
