,Louisville ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jude Schimmel,5,11,4,6,1,5,2,4,0,3,4,3,1,2,0,13,0.18181818181818182,2.0
1,Mariya Moore,2,10,0,1,2,9,2,2,2,1,3,3,0,2,4,8,0.2,1.5
2,Sara Hammond,2,10,2,10,0,0,2,2,3,2,2,2,0,2,3,6,0.2,1.0
3,Myisha Hines-Allen,8,12,8,12,0,0,3,4,3,5,0,1,1,1,1,19,0.25,0.0
4,Sheronne Vails,0,3,0,3,0,0,3,4,1,0,1,2,2,0,1,3,1.0,0.0
11,School Totals,28,61,25,46,3,15,27,34,12,18,19,24,6,12,19,86,0.4426229508196721,1.5833333333333333
