,Arizona State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tenaya Watson,3,5,2,4,1,1,1,1,0,0,2,0,0,2,2,8,0.2,1.0
1,Deja Mann,3,6,3,4,0,2,1,1,0,3,2,0,0,0,2,7,0.16666666666666666,0.0
2,Becca Tobin,5,9,5,9,0,0,0,0,2,6,1,0,2,2,0,10,0.0,0.5
3,Dymond Simon,1,6,1,3,0,3,3,4,0,1,2,1,0,5,0,5,0.5,0.4
4,Kimberly Brandon,5,14,4,11,1,3,0,0,2,4,1,1,0,1,1,11,0.0,1.0
10,School Totals,17,55,15,40,2,15,9,10,8,16,11,5,3,18,12,45,0.16363636363636364,0.6111111111111112
