,Michigan ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Deja Church,3,7,2,5,1,2,5,6,2,5,7,2,0,3,2,12,0.7142857142857143,2.3333333333333335
1,Nicole Munger,5,10,3,6,2,4,1,2,1,2,0,3,0,4,3,13,0.1,0.0
2,Amy Dilk,3,8,2,6,1,2,0,1,1,2,5,0,0,4,3,7,0.0,1.25
3,Hallie Thome,4,6,4,6,0,0,0,0,2,6,2,0,0,1,0,8,0.0,2.0
4,Hailey Brown,3,5,3,5,0,0,0,0,0,2,0,0,1,1,1,6,0.0,0.0
14,School Totals,35,63,30,50,5,13,9,14,16,33,22,9,2,21,17,84,0.14285714285714285,1.0476190476190477
