,Stony Brook ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Earlette Scott,5,11,5,9,0,2,0,0,2,1,2,1,0,2,1,10,0.0,1.0
1,Asiah Dingle,3,7,2,6,1,1,7,8,2,2,1,0,0,5,3,14,1.0,0.2
2,McKenzie Bushee,2,3,2,3,0,0,0,0,1,1,0,0,1,3,4,4,0.0,0.0
3,Anastasia Warren,0,6,0,5,0,1,0,0,0,4,0,1,0,4,0,0,0.0,0.0
4,Hailey Zeise,0,6,0,4,0,2,0,0,3,4,1,1,1,2,3,0,0.0,0.5
13,School Totals,14,48,12,38,2,10,14,16,9,20,8,6,2,22,12,44,0.2916666666666667,0.36363636363636365
