,Oregon State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sydney Wiese,3,8,2,2,1,6,6,6,0,5,0,2,0,3,3,13,0.75,0.0
1,Ruth Hamblin,4,11,4,11,0,0,2,2,5,6,0,0,6,1,1,10,0.18181818181818182,0.0
2,Jamie Weisner,4,15,3,10,1,5,0,0,1,3,1,2,0,3,4,9,0.0,0.3333333333333333
3,Gabriella Hanson,2,7,1,4,1,3,0,0,0,1,1,1,0,2,2,5,0.0,0.5
4,Deven Hunter,1,4,1,3,0,1,1,1,0,1,2,0,0,4,3,3,0.25,0.5
10,School Totals,18,54,12,35,6,19,9,9,8,16,8,5,6,17,15,51,0.16666666666666666,0.47058823529411764
