,South Florida ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Courtney Williams,8,20,5,13,3,7,6,6,0,7,2,1,1,4,3,25,0.3,0.5
1,Laura Ferreira,3,6,0,1,3,5,0,0,2,2,1,0,0,2,3,9,0.0,0.5
2,Alisia Jenkins,2,4,2,4,0,0,3,4,1,6,0,1,3,3,4,7,0.75,0.0
3,Katelyn Weber,1,1,1,1,0,0,0,1,0,2,0,0,4,0,0,2,0.0,0.0
4,Laura Marcos Canedo,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
8,School Totals,17,48,10,31,7,17,11,13,4,21,9,5,8,15,15,52,0.22916666666666666,0.6
