,Louisville ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jude Schimmel,4,12,3,8,1,4,4,4,1,5,5,2,0,2,1,13,0.3333333333333333,2.5
1,Mariya Moore,3,8,1,3,2,5,3,4,2,2,1,2,0,2,2,11,0.375,0.5
2,Sara Hammond,2,11,2,11,0,0,0,0,2,2,4,2,5,0,4,4,0.0,0.0
3,Myisha Hines-Allen,6,15,6,14,0,1,0,0,2,3,0,0,1,0,3,12,0.0,0.0
4,Sheronne Vails,1,3,1,3,0,0,0,0,3,2,0,0,0,0,1,2,0.0,0.0
9,School Totals,22,66,18,55,4,11,12,14,16,20,13,8,7,11,17,60,0.18181818181818182,1.1818181818181819
