,Bucknell ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kyi English,2,6,2,3,0,3,2,2,1,1,4,1,1,7,0,6,0.3333333333333333,0.5714285714285714
1,Claire DeBoer,1,8,1,6,0,2,3,4,2,4,3,1,0,1,3,5,0.375,3.0
2,Megan McGurk,4,11,2,6,2,5,2,2,1,1,0,0,0,3,2,12,0.18181818181818182,0.0
3,Sune Swart,5,8,4,5,1,3,3,5,1,3,0,0,0,2,4,14,0.375,0.0
4,Kaitlyn Slagus,0,6,0,2,0,4,0,0,1,3,1,1,0,2,1,0,0.0,0.5
10,School Totals,20,54,15,32,5,22,16,19,8,18,10,3,1,20,18,61,0.2962962962962963,0.5
