,Connecticut ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Katie Lou Samuelson,3,5,1,2,2,3,0,0,1,7,0,0,1,1,1,8,0.0,0.0
1,Napheesa Collier,9,11,9,9,0,2,5,6,1,7,4,2,1,2,2,23,0.45454545454545453,2.0
2,Kia Nurse,4,7,1,2,3,5,2,2,0,3,3,0,0,0,0,13,0.2857142857142857,0.0
3,Crystal Dangerfield,2,8,1,6,1,2,0,0,1,3,5,0,0,3,1,5,0.0,1.6666666666666667
4,Gabby Williams,2,2,2,2,0,0,2,2,0,2,5,0,1,1,3,6,1.0,5.0
11,School Totals,26,44,20,32,6,12,13,14,5,27,18,3,6,13,14,71,0.29545454545454547,1.3846153846153846
