,Ohio State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelsey Mitchell,11,29,5,13,6,16,0,1,1,0,3,2,0,1,2,28,0.0,3.0
1,Sierra Calhoun,3,10,0,2,3,8,0,0,1,3,2,0,0,2,2,9,0.0,1.0
2,Linnae Harper,5,10,4,8,1,2,3,3,1,5,5,2,0,2,3,14,0.3,2.5
3,Stephanie Mavunga,7,12,7,12,0,0,2,4,9,6,0,2,3,3,3,16,0.16666666666666666,0.0
4,Alexa Hart,0,3,0,3,0,0,0,0,0,3,0,0,2,1,3,0,0.0,0.0
10,School Totals,29,73,18,44,11,29,9,14,14,19,14,9,5,12,19,78,0.1232876712328767,1.1666666666666667
