,Central Florida ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Diamond Battles,3,11,1,6,2,5,4,5,0,0,0,0,0,2,2,12,0.36363636363636365,0.0
1,Tay Sanders,4,8,2,6,2,2,0,2,2,4,2,1,0,4,2,10,0.0,0.5
2,Destiny Thomas,1,4,1,4,0,0,1,2,1,6,0,0,2,3,4,3,0.25,0.0
3,Masseny Kaba,2,7,2,6,0,1,1,2,2,2,3,1,1,5,3,5,0.14285714285714285,0.6
4,Shania Meertens,0,3,0,3,0,0,1,2,1,1,0,0,0,1,1,1,0.3333333333333333,0.0
8,School Totals,16,46,11,36,5,10,10,20,7,22,9,4,3,17,24,47,0.21739130434782608,0.5294117647058824
