,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Jacinta Monroe,35,.556,.500,.000,.500,12.2,13.9,13.3,14.0,0.0,13.9,0.0,14.8,142,106
1,Courtney Ward,32,.588,.500,.400,.400,4.5,12.2,9.1,36.5,0.0,0.0,14.5,22.8,128,112
2,Alysha Harvin,31,.705,.692,.769,.308,0.0,3.1,1.9,12.9,3.9,6.3,6.3,27.0,138,108
3,Angel Gray,27,.400,.400,.400,.000,0.0,3.6,2.1,17.1,0.0,0.0,37.5,15.7,68,119
4,Chasity Clayton,13,.250,.250,.000,.000,0.0,15.0,8.9,11.9,4.7,0.0,0.0,16.3,74,99
6,Alexa Deluzio,25,.714,.714,.143,.000,0.0,11.7,7.0,7.6,0.0,0.0,30.0,21.3,91,113
7,Christian Hunnicutt,19,.333,.333,.333,.000,7.5,5.1,6.1,23.5,6.4,0.0,40.0,14.0,78,102
8,Cierra Bravard,18,.714,.714,.000,.000,31.7,27.1,29.0,0.0,0.0,0.0,22.2,26.6,116,100
9,School Totals,200,.590,.561,.316,.211,32.1,53.7,44.9,69.0,7.6,17.1,17.2,100.0,112.1,107.6
