,Hampton ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Jephany Brown,7,20,6,17,1,3,3,4,1,2,1,2,0,4,1,18,0.15,0.25
1,Monnazjea Finney-Smith,1,10,1,3,0,7,0,0,2,4,3,2,0,5,5,2,0.0,0.6
2,Georgianna Gilbeaux,0,5,0,4,0,1,1,2,3,2,2,5,0,3,4,1,0.2,0.6666666666666666
3,Mikayla Sayle,1,7,1,7,0,0,0,4,8,2,0,1,0,2,2,2,0.0,0.0
4,Dejane' James,1,4,0,2,1,2,0,0,0,0,0,1,0,2,0,3,0.0,0.0
10,School Totals,12,66,9,42,3,24,4,12,14,11,6,14,0,20,22,31,0.06060606060606061,0.3
