,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring
,Unnamed: 0_level_1,1,2,3,4,OT,T
0,Mississippi State,21,22,17,15,19,94
1,Baylor,19,21,21,14,10,85
