,Maine ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Parise Rossignol,7,13,2,4,5,9,0,0,1,4,1,0,1,0,1,19,0.0,0.0
1,Dor Saar,6,12,2,4,4,8,0,0,0,5,0,1,0,1,1,16,0.0,0.0
2,Fanny Wadling,4,10,3,6,1,4,0,0,2,6,1,0,3,2,2,9,0.0,0.5
3,Tanesha Sutton,1,11,0,5,1,6,0,0,1,2,5,3,0,2,2,3,0.0,2.5
4,Blanca Millan,2,12,2,3,0,9,0,0,1,6,5,2,1,4,4,4,0.0,1.25
7,School Totals,20,59,9,22,11,37,0,0,5,23,12,7,5,9,10,51,0.0,1.3333333333333333
