,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
0,Amber Harris,38,.554,.556,.056,.111,10.3,10.5,10.4,19.2,1.7,0.0,5.0,25.8,131,110
1,Special Jennings,38,.046,.000,.500,.200,2.6,3.5,3.0,35.1,3.5,0.0,21.6,18.0,53,110
2,Ta'Shia Phillips,35,.628,.636,.000,.182,30.7,22.9,27.4,6.0,3.7,3.3,0.0,16.8,156,96
3,Tyeasha Moss,24,.250,.250,.667,.000,8.1,0.0,4.7,6.6,0.0,0.0,0.0,12.4,98,120
4,April Phillips,18,.167,.167,.167,.000,5.4,7.4,6.3,0.0,3.6,0.0,25.0,22.0,38,107
6,Katie Rutan,24,.458,.458,.833,.000,0.0,5.6,2.3,8.2,0.0,0.0,7.7,26.8,111,117
7,Dee Dee Jernigan,21,.673,.667,.000,.500,9.3,31.7,18.8,19.7,9.4,0.0,12.0,19.6,137,79
8,Alesia Barringer,2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,120
9,School Totals,200,.430,.420,.304,.130,51.2,56.7,53.5,63.0,14.8,2.9,9.8,100.0,103.3,101.6
