,Rutgers ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kahleah Copper,4,16,4,16,0,0,3,3,1,2,1,0,0,3,4,11,0.1875,0.3333333333333333
1,Tyler Scaife,8,20,8,20,0,0,0,1,1,2,2,1,0,3,1,16,0.0,0.6666666666666666
2,Betnijah Laney,5,15,4,10,1,5,0,0,1,3,1,1,0,6,2,11,0.0,0.16666666666666666
3,Ariel Butts,2,4,2,4,0,0,1,2,6,0,0,0,0,0,4,5,0.25,0.0
4,Briyona Canty,1,3,1,3,0,0,0,0,0,1,1,1,0,1,3,2,0.0,1.0
12,School Totals,25,73,24,64,1,9,4,6,11,16,7,5,2,14,17,55,0.0547945205479452,0.5
