,Washington State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Charlisse Leger-Walker,7,18,6,11,1,7,5,6,1,3,1,1,1,3,2,20,0.2777777777777778,0.3333333333333333
1,Ula Motuga,1,3,1,2,0,1,3,4,3,11,2,0,1,2,2,5,1.0,1.0
2,Krystal Leger-Walker,4,11,3,7,1,4,0,2,0,5,0,0,0,4,4,9,0.0,0.0
3,Johanna Teder,0,10,0,3,0,7,0,0,0,4,1,1,0,3,4,0,0.0,0.3333333333333333
4,Bella Murekatete,0,4,0,4,0,0,0,0,0,3,0,0,0,2,4,0,0.0,0.0
9,School Totals,14,56,11,34,3,22,9,14,8,31,5,2,2,17,23,40,0.16071428571428573,0.29411764705882354
