,Kansas State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ayoka Lee,5,11,5,11,0,0,10,12,2,13,1,1,1,1,4,20,0.9090909090909091,1.0
1,Serena Sundell,2,7,1,4,1,3,0,0,1,3,2,1,0,2,1,5,0.0,1.0
2,Jaelyn Glenn,0,5,0,3,0,2,0,0,0,4,1,1,1,2,2,0,0.0,0.5
3,Brylee Glenn,3,11,2,7,1,4,7,8,1,3,1,0,1,1,1,14,0.6363636363636364,1.0
4,Emilee Ebert,2,7,1,5,1,2,0,0,0,2,0,1,0,2,0,5,0.0,0.0
8,School Totals,14,53,11,39,3,14,19,22,6,30,7,6,3,11,11,50,0.3584905660377358,0.6363636363636364
