,Texas ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ariel Atkins,7,8,5,5,2,3,0,0,2,2,4,2,0,2,2,16,0.0,2.0
1,Brooke McCarty,2,3,1,2,1,1,2,2,0,7,2,0,1,1,1,7,0.6666666666666666,2.0
2,Lashann Higgs,6,7,5,5,1,2,2,2,0,2,3,2,0,3,0,15,0.2857142857142857,1.0
3,Jatarie White,7,10,7,10,0,0,3,3,1,2,2,0,0,3,1,17,0.3,0.6666666666666666
4,Joyner Holmes,4,8,4,8,0,0,1,1,1,6,4,0,0,3,0,9,0.125,1.3333333333333333
11,School Totals,34,55,28,47,6,8,9,10,9,33,19,4,2,20,15,83,0.16363636363636364,0.95
