,James Madison ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Angela Mickens,1,3,1,3,0,0,2,3,0,3,11,1,0,7,4,4,0.6666666666666666,1.5714285714285714
1,Precious Hall,10,30,6,14,4,16,4,4,3,6,3,2,1,2,4,28,0.13333333333333333,1.5
2,Toia Giggetts,4,9,4,9,0,0,0,0,3,4,2,1,0,3,3,8,0.0,0.6666666666666666
3,Lauren Okafor,4,10,4,10,0,0,0,0,3,5,0,0,2,0,2,8,0.0,0.0
4,Jazmon Gwathmey,3,6,2,4,1,2,1,1,3,4,2,0,0,2,4,8,0.16666666666666666,1.0
9,School Totals,30,79,19,50,11,29,9,10,12,30,19,6,4,15,23,80,0.11392405063291139,1.2666666666666666
