,Ohio State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Ameryst Alston,7,19,5,15,2,4,12,16,1,3,8,2,0,5,2,28,0.631578947368421,1.6
1,Alexa Hart,9,12,9,12,0,0,2,3,1,12,0,0,7,3,2,20,0.16666666666666666,0.0
2,Cait Craft,1,6,1,3,0,3,2,3,0,3,1,3,0,1,4,4,0.3333333333333333,1.0
3,Kelsey Mitchell,7,15,5,8,2,7,7,7,0,2,4,2,0,2,4,23,0.4666666666666667,2.0
4,Asia Doss,0,2,0,0,0,2,2,2,0,2,2,0,0,0,1,2,1.0,0.0
8,School Totals,30,62,26,46,4,16,26,34,2,30,16,9,7,13,17,90,0.41935483870967744,1.2307692307692308
