,Marquette ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Amani Wilborn,3,13,2,9,1,4,1,2,2,2,4,1,0,2,2,8,0.07692307692307693,2.0
1,Danielle King,5,8,5,7,0,1,1,1,3,0,4,3,0,2,1,11,0.125,2.0
2,Natisha Hiedeman,10,18,2,6,8,12,4,5,0,4,5,5,1,2,4,32,0.2222222222222222,2.5
3,Erika Davenport,7,11,7,11,0,0,2,4,5,8,0,1,1,3,3,16,0.18181818181818182,0.0
4,Allazia Blockton,4,13,1,8,3,5,4,4,2,2,2,0,0,1,2,15,0.3076923076923077,2.0
11,School Totals,30,68,18,42,12,26,12,18,14,21,15,11,2,10,20,84,0.17647058823529413,1.5
