,West Virginia ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Chania Ray,2,6,2,4,0,2,3,3,0,4,4,3,0,4,3,7,0.5,1.0
1,Tynice Martin,7,24,4,16,3,8,9,10,0,3,1,0,0,0,1,26,0.375,0.0
2,Teana Muldrow,3,4,3,3,0,1,0,0,2,8,4,1,0,2,3,6,0.0,2.0
3,Lanay Montgomery,6,9,6,9,0,0,1,2,1,9,1,1,0,3,2,13,0.1111111111111111,0.3333333333333333
4,Katrina Pardee,5,10,1,5,4,5,0,0,0,1,3,0,0,1,3,14,0.0,3.0
8,School Totals,27,57,19,40,8,17,13,15,4,31,20,5,0,10,15,75,0.22807017543859648,2.0
