,Iowa State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Bridget Carleton,6,9,3,5,3,4,8,8,0,7,3,1,2,3,1,23,0.8888888888888888,1.0
1,Ashley Joens,5,11,3,7,2,4,2,3,1,7,1,0,0,0,2,14,0.18181818181818182,0.0
2,Madison Wise,4,7,3,4,1,3,0,0,3,0,2,0,1,0,1,9,0.0,0.0
3,Alexa Middleton,5,11,4,9,1,2,4,4,1,4,9,1,0,3,0,15,0.36363636363636365,3.0
4,Kristin Scott,5,9,5,7,0,2,2,2,2,6,0,0,1,1,1,12,0.2222222222222222,0.0
12,School Totals,34,70,25,47,9,23,20,23,13,44,22,5,6,12,16,97,0.2857142857142857,1.8333333333333333
