,Miami ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kelsey Marshall,2,10,2,7,0,3,2,4,0,4,2,1,1,2,3,6,0.2,1.0
1,Destiny Harden,2,9,2,7,0,2,0,0,1,1,0,1,0,2,2,4,0.0,0.0
2,Ja'Leah Williams,1,5,1,5,0,0,0,0,2,2,1,0,0,4,1,2,0.0,0.25
3,Karla Erjavec,0,2,0,1,0,1,0,0,0,1,0,0,0,4,0,0,0.0,0.0
4,Lola Pendande,0,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0.0,0.0
12,School Totals,11,46,6,27,5,19,6,8,3,20,6,6,4,18,15,33,0.13043478260869565,0.3333333333333333
