,Stanford ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kiana Williams,4,15,0,4,4,11,1,2,0,3,4,2,0,3,2,13,0.06666666666666667,1.3333333333333333
1,Anna Wilson,4,5,1,2,3,3,0,0,0,4,3,2,1,2,0,11,0.0,1.5
2,Haley Jones,7,13,5,10,2,3,1,1,0,5,2,1,0,3,1,17,0.07692307692307693,0.6666666666666666
3,Cameron Brink,4,6,3,5,1,1,3,6,4,5,2,0,5,2,3,12,0.5,1.0
4,Lexie Hull,3,9,2,7,1,2,1,3,0,1,1,1,0,2,2,8,0.1111111111111111,0.5
9,School Totals,27,58,14,33,13,25,6,12,8,21,16,7,6,16,11,73,0.10344827586206896,1.0
