,Arizona State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Courtney Ekmark,2,14,0,3,2,11,0,0,0,4,0,0,1,2,1,6,0.0,0.0
1,Reili Richardson,0,2,0,2,0,0,0,0,0,1,9,0,0,2,1,0,0.0,4.5
2,Robbi Ryan,3,7,3,6,0,1,0,0,0,3,1,2,0,1,0,6,0.0,1.0
3,Charnea Johnson-Chapman,2,3,2,3,0,0,0,0,3,0,0,0,0,1,5,4,0.0,0.0
4,Kianna Ibis,5,7,3,5,2,2,4,4,1,0,0,0,2,1,4,16,0.5714285714285714,0.0
12,School Totals,20,55,14,34,6,21,7,12,11,14,15,4,5,16,26,53,0.12727272727272726,0.9375
