,Arizona State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Sophie Brunner,1,6,1,6,0,0,5,6,6,4,0,0,1,0,3,7,0.8333333333333334,0.0
1,Deja Mann,5,9,3,4,2,5,4,4,0,2,2,4,0,3,2,16,0.4444444444444444,0.6666666666666666
2,Kelsey Moos,2,6,2,6,0,0,0,0,0,4,0,1,0,1,2,4,0.0,0.0
3,Promise Amukamara,2,6,2,6,0,0,0,0,3,2,1,2,0,2,5,4,0.0,0.5
4,Elisha Davis,0,8,0,4,0,4,2,2,0,0,2,0,0,2,1,2,0.25,1.0
11,School Totals,21,56,18,42,3,14,22,26,13,17,5,9,1,19,27,67,0.39285714285714285,0.2631578947368421
