,Baylor ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Niya Johnson,2,6,2,6,0,0,0,0,0,5,16,1,2,1,0,4,0.0,16.0
1,Alexis Jones,9,15,4,5,5,10,0,0,0,8,5,1,0,4,2,23,0.0,1.25
2,Nina Davis,7,11,7,11,0,0,4,5,2,5,1,1,0,2,0,18,0.36363636363636365,0.5
3,Alexis Prince,3,10,2,6,1,4,0,0,1,0,2,0,2,1,1,7,0.0,2.0
4,Beatrice Mompremier,3,4,3,4,0,0,0,0,3,2,0,0,1,0,2,6,0.0,0.0
13,School Totals,37,74,28,52,9,22,6,9,14,34,27,4,9,12,8,89,0.08108108108108109,2.25
