,New Mexico State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Shanice Davis,2,11,2,6,0,5,0,0,0,1,3,4,0,3,1,4,0.0,1.0
1,Sasha Weber,4,11,1,3,3,8,3,4,0,4,0,0,2,0,2,14,0.2727272727272727,0.0
2,Moriah Mack,2,4,2,4,0,0,0,0,0,6,2,4,0,2,4,4,0.0,1.0
3,Brianna Freeman,6,11,6,11,0,0,3,3,1,2,0,1,0,3,4,15,0.2727272727272727,0.0
4,Abby Scott,3,6,2,4,1,2,0,0,0,0,1,0,1,0,2,7,0.0,0.0
10,School Totals,22,58,17,37,5,21,8,9,3,14,9,13,4,11,18,57,0.13793103448275862,0.8181818181818182
