,James Madison ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kirby Burkholder,4,17,1,7,3,10,17,18,4,14,4,3,1,2,3,28,1.0,2.0
1,Nikki Newman,1,4,0,0,1,4,0,0,1,4,3,0,4,3,2,3,0.0,1.0
2,Toia Giggetts,7,14,7,14,0,0,1,2,2,4,1,1,0,1,4,15,0.07142857142857142,1.0
3,Jazmon Gwathmey,2,8,2,6,0,2,0,0,2,4,2,0,1,1,4,4,0.0,2.0
4,Precious Hall,4,11,4,9,0,2,3,3,0,0,1,0,0,2,4,11,0.2727272727272727,0.5
8,School Totals,23,63,19,45,4,18,22,25,11,32,15,5,6,10,18,72,0.3492063492063492,1.5
