,Villanova ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Alex Louin,2,8,1,2,1,6,5,11,1,13,8,0,0,3,3,10,0.625,2.6666666666666665
1,Adrianna Hahn,7,16,1,4,6,12,4,4,1,3,3,0,0,0,2,24,0.25,0.0
2,Jannah Tucker,6,17,0,4,6,13,2,2,0,3,1,1,2,0,2,20,0.11764705882352941,0.0
3,Kelly Jekot,2,6,0,2,2,4,3,4,3,5,2,0,0,2,3,9,0.5,1.0
4,Megan Quinn,1,2,0,0,1,2,0,0,2,2,1,0,0,1,3,3,0.0,1.0
10,School Totals,25,61,9,23,16,38,15,25,8,28,18,2,3,9,19,81,0.2459016393442623,2.0
