,Florida Gulf Coast ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tishara Morehouse,6,10,6,9,0,1,1,1,0,2,9,3,0,1,1,13,0.1,9.0
1,Kendall Spray,2,4,1,1,1,3,4,4,0,3,2,0,0,0,3,9,1.0,0.0
2,Kierstan Bell,8,18,6,10,2,8,4,6,1,7,2,3,1,0,4,22,0.2222222222222222,0.0
3,Kerstie Phills,4,6,1,1,3,5,0,0,0,5,0,0,0,0,5,11,0.0,0.0
4,Emma List,3,9,0,0,3,9,0,0,0,2,2,0,0,0,3,9,0.0,0.0
11,School Totals,30,64,15,26,15,38,9,11,2,25,19,7,1,3,18,84,0.140625,6.333333333333333
