,South Dakota State ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Madison Guebert,6,11,1,4,5,7,2,4,0,1,0,2,0,2,2,19,0.18181818181818182,0.0
1,Kerri Young,2,7,1,4,1,3,0,0,1,6,1,0,0,2,1,5,0.0,0.5
2,Macy Miller,6,11,6,9,0,2,6,7,2,5,4,1,0,11,1,18,0.5454545454545454,0.36363636363636365
3,Clarissa Ober,4,12,4,10,0,2,1,2,1,8,1,0,3,2,4,9,0.08333333333333333,0.5
4,Ellie Thompson,4,8,3,7,1,1,5,6,1,4,0,1,0,2,3,14,0.625,0.0
9,School Totals,25,58,17,40,8,18,16,27,9,31,12,7,3,22,17,74,0.27586206896551724,0.5454545454545454
