,Western Kentucky ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Kendall Noble,7,14,5,10,2,4,5,6,3,5,7,3,0,2,3,21,0.35714285714285715,3.5
1,Micah Jones,2,8,1,3,1,5,0,1,0,1,6,1,0,3,3,5,0.0,2.0
2,Chastity Gooch,10,16,9,14,1,2,2,3,0,9,2,0,0,2,4,23,0.125,1.0
3,Bianca McGee,6,14,2,6,4,8,2,2,0,0,3,1,0,0,3,18,0.14285714285714285,0.0
4,Jalynn McClain,2,4,2,4,0,0,0,0,1,1,2,0,0,0,3,4,0.0,0.0
9,School Totals,28,59,20,39,8,20,10,13,4,18,21,5,1,7,24,74,0.1694915254237288,3.0
