,Washington ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Talia Walton,10,15,2,6,8,9,1,3,0,2,2,2,2,2,4,29,0.06666666666666667,1.0
1,Kelsey Plum,5,18,4,12,1,6,6,6,0,1,3,2,0,6,3,17,0.3333333333333333,0.5
2,Katie Collier,3,5,3,5,0,0,1,1,1,5,1,0,1,0,1,7,0.2,0.0
3,Chantel Osahor,1,6,0,0,1,6,0,0,1,13,6,0,2,5,3,3,0.0,1.2
4,Alexus Atchley,0,5,0,3,0,2,0,0,0,0,2,0,1,5,4,0,0.0,0.4
7,School Totals,20,52,9,27,11,25,8,10,2,22,15,5,6,18,16,59,0.15384615384615385,0.8333333333333334
