,Syracuse ,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,FT/FGA,AST/TOV
0,Tiana Mangakahia,8,20,6,17,2,3,3,3,1,7,11,5,0,4,0,21,0.15,2.75
1,Miranda Drummond,3,4,1,1,2,3,0,0,1,5,0,0,0,1,2,8,0.0,0.0
2,Digna Strautmane,2,7,0,3,2,4,0,0,0,6,0,1,1,2,3,6,0.0,0.0
3,Gabrielle Cooper,4,6,1,2,3,4,2,3,0,3,1,2,0,0,1,13,0.3333333333333333,0.0
4,Amaya Finklea-Guity,2,8,2,8,0,0,1,2,2,2,0,1,2,0,1,5,0.125,0.0
12,School Totals,26,60,17,46,9,14,9,12,6,28,15,12,4,8,15,70,0.15,1.875
